지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 금천구 독산동 291-5,서울특별시 금천구 시흥대로 399 (독산동),,롯데시네마 독산점,126.897001948519,37.4693591753013
서울특별시 노원구 상계동 727-1번지 지하1층,"서울특별시 노원구 노해로 480 (상계동, 조광빌딩)",1751.0,더숲 아트시네마,127.061435135164,37.6541794204255
서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),,롯데시네마 노원점,127.061391730931,37.6552787315469
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",1783.0,CGV 중계점,127.068668049616,37.6398580838556
서울특별시 노원구 중계동 506-1,서울특별시 노원구 섬밭로 258 (중계동),,CGV 하계점,127.064915087375,37.6391097783726
서울특별시 도봉구 창동 715-14,서울특별시 도봉구 도봉로 558 (창동),1427.0,메가박스 창동점,127.038732219793,37.6546022496976
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",1334.0,CGV 방학점,,
"서울특별시 동대문구 전농동 591-53 청량리민자역사 8층,9층 ","서울특별시 동대문구 왕산로 214, 8층,9층 (전농동, 청량리민자역사)",2555.0,롯데시네마 청량리점,127.05114503929,37.584197400389
서울특별시 동작구 사당동 147-53 골든씨네마 7층,"서울특별시 동작구 동작대로 89 (사당동,골든씨네마 7층)",,메가박스 이수지점,126.981665713772,37.4846140265703
서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",7074.0,롯데시네마 신대방점,126.905526238207,37.4864917793931
서울특별시 마포구 서교동 354-5 라이즈호텔,"서울특별시 마포구 양화로 130, 라이즈호텔 4층 (서교동)",4038.0,모노플렉스 앳 라이즈,126.921207395382,37.5543349117636
서울특별시 마포구 동교동 160-4 아일렉스,"서울특별시 마포구 양화로 147, 아일렉스 7층 (동교동)",3995.0,메가박스중앙 홍대지점,126.922054509333,37.5560502523992
서울특별시 마포구 동교동 159-8,서울특별시 마포구 양화로 153 (동교동),3995.0,CGV 홍대점,126.922631917858,37.5564943733388
