road_address,business_name,longitude,latitude,category
서울특별시 동대문구 회기로 118,지에스25 카이스트원룸점,127.0496499,37.59132507,편의점
서울특별시 동대문구 왕산로23길 89,지에스25동대문정릉천점,127.0340839,37.58220011,편의점
서울특별시 동대문구 홍릉로 16,씨유청량코아점,127.0448941,37.58174239,편의점
서울특별시 동대문구 답십리로 182,GS25 답십리한양점,127.060318,37.5726808,편의점
서울특별시 동대문구 고산자로54길 91,씨유제기한신점,127.0404234,37.59050707,편의점
서울특별시 동대문구 약령시로 7,씨유 안암로타리점,127.0306037,37.58283491,편의점
서울특별시 동대문구 약령시로21길 5,씨유 청량리경찰서점,127.0449501,37.58361851,편의점
서울특별시 동대문구 장한로28가길 1,지에스25 장안장평점,127.0724368,37.57307835,편의점
서울특별시 동대문구 고산자로 393,씨유(CU) 뉴용두래미안점,127.0378184,37.57487867,편의점
서울특별시 동대문구 난계로 242,GS25동대문지웰점,127.0238403,37.57305789,편의점
서울특별시 동대문구 한천로 250,세븐일레븐 휘경한천로점,127.0686402,37.58317419,편의점
서울특별시 동대문구 왕산로 239,세븐일레븐 청량리힐스테이트점,127.0482674,37.58306489,편의점
서울특별시 동대문구 천호대로 124,CU 용두두산위브점,127.037128,37.57379418,편의점
서울특별시 동대문구 전농로37길 78,지에스25 (전농샛별점),127.0511029,37.5818479,편의점
서울특별시 동대문구 망우로 46,지에스25 회기하트리움점,127.0585521,37.58860053,편의점
서울특별시 동대문구 천호대로77길 84,세븐일레븐 장안3점,127.0633059,37.56539532,편의점
서울특별시 동대문구 장한로 180,씨유(CU)장안대로,127.0723748,37.57644856,편의점
서울특별시 동대문구 장한로28가길 17,이마트24 동대문브이티점,127.0724957,37.5739075,편의점
서울특별시 동대문구 천호대로17길 64,세븐일레븐 용두중앙점,127.0323935,37.57690833,편의점
서울특별시 동대문구 답십리로51길 14-13,GS25 답십리청솔점,127.0590019,37.57391961,편의점
서울특별시 동대문구 장한로 92,세븐일레븐 장안대로점,127.0698016,37.56871327,편의점
서울특별시 동대문구 천호대로89길 16,지에스25(GS25)장안스타본점,127.0684913,37.56241697,편의점
서울특별시 동대문구 왕산로 20,세븐일레븐 라마다신설동점,127.0258206,37.57614537,편의점
서울특별시 동대문구 장한로8길 84,지에스(GS)25 장안월드점,127.0710094,37.56271011,편의점
서울특별시 동대문구 제기로 131,CU청량한신점,127.0492015,37.58799925,편의점
서울특별시 동대문구 고미술로 16,씨유편의점,127.0503439,37.56948361,편의점
서울특별시 동대문구 왕산로40길 8,이마트24청량리타운점,127.0450885,37.57965021,편의점
서울특별시 동대문구 제기로4길 41,씨유제기타운점,127.0330602,37.58461993,편의점
서울특별시 동대문구 답십리로60길 134,지에스25답십리동아점,127.0617477,37.56772387,편의점
서울특별시 동대문구 하정로 18,지에스(GS)25 신설본점,127.0269716,37.57261447,편의점
서울특별시 동대문구 장한로2길 52,세븐일레븐 장안노블레스점,127.0679281,37.56169037,편의점
