도로명주소,사업자명,H_KOR_GU,H_KOR_DONG,경도,위도
서울특별시 광진구 뚝섬로 640 (자양동),서울자양동우체국,광진구,자양2동,127.080554225932,37.5315052832311
서울특별시 광진구 긴고랑로 68 (중곡동),서울중곡동우체국,광진구,중곡2동,127.083268174551,37.5615298153958
서울특별시 성동구 왕십리로 222 (사근동),서울한양대학교우체국,성동구,사근동,127.046611216789,37.5545035492027
서울특별시 광진구 광나루로 356 (화양동),서울화양동우체국,광진구,화양동,127.069393058687,37.5479075032224
서울특별시 금천구 시흥대로 410 (독산4동 ),서울금천우체국,금천구,독산4동,126.898525100606,37.47019149499
서울특별시 금천구 남부순환로 1288 (가산동),서울가산동우체국,금천구,가산동,126.893744176528,37.478444685639
서울특별시 금천구 가산디지털 2로 108 (가산동),서울가산디지털우체국,금천구,가산동,126.880664798648,37.4778955587368
서울특별시 구로구 중앙로 76 (고척동),서울고척동우체국,구로구,고척1동,126.861768497833,37.504447905752
서울특별시 구로구 구일로 64 (구로동),서울구로1동우체국,구로구,구로1동,126.874112979354,37.4919025857601
서울특별시 구로구 구로동로 130-2 (구로동),서울구로4동우체국,구로구,구로4동,126.884394819718,37.4903251595384
서울특별시 구로구 디지털로26길 144,서울구로디지털단지우체국,구로구,구로3동,126.89846972597,37.4832988803654
서울특별시 구로구 구로중앙로18길 5,서울동구로우체국,구로구,구로4동,126.889640610335,37.4949253109334
서울특별시 금천구 독산로 123 (시흥1동),서울시흥1동우체국,금천구,시흥1동,126.905070932986,37.4582258288751
서울특별시 금천구 시흥대로 217 (시흥동),서울시흥동우체국,금천구,시흥1동,126.9007189928,37.4531527058848
서울특별시 구로구 경인로 67길23 (신도림동),서울신도림우체국,구로구,신도림동,126.889481191271,37.5104826397728
서울특별시 구로구 경인로 227 (오류동),서울오류동우체국,구로구,오류1동,126.845764690595,37.4971960862937
서울특별시 노원구 동일로 988 (공릉1동),서울공릉동우체국,노원구,공릉1동,127.075720417305,37.6184624648695
서울특별시 노원구 노원로 510 (상계10동),서울상계10동우체국,노원구,상계10동,127.062588882016,37.6609357275304
서울특별시 노원구 동일로 1632 (상계1동),서울상계1동우체국,노원구,상계1동,127.055722245564,37.6741266407172
서울특별시 노원구 덕릉로113길 18 (상계3동),서울상계3동우체국,노원구,상계3.4동,127.077042151978,37.6662989113052
서울특별시 노원구 노해로 448 (상계6동),서울상계6동우체국,노원구,상계6.7동,127.057920063093,37.6534259951432
서울특별시 노원구 동일로 1693-6 (상계1동),서울수락산우체국,노원구,상계1동,127.05481315083,37.6796725921398
서울특별시 노원구 월계로 317 (월계동),서울월계2동우체국,노원구,월계2동,127.055917791081,37.6284999651239
서울특별시 노원구 마들로 57-1 (월계3동),서울월계3동우체국,노원구,월계3동,127.069060321214,37.6209062448799
서울특별시 노원구 공릉로 392 (중계3동),서울중계3동우체국,노원구,중계2.3동,127.068589393203,37.6416791092236
서울특별시 노원구 한글비석로 286 (중계본동),서울중계동우체국,노원구,중계본동,127.07843086074,37.6528798589609
서울특별시 노원구 노원로 259 (하계1동),서울하계1동우체국,노원구,하계1동,127.072669399414,37.6404423181307
서울특별시 도봉구 노해로 150,서울도봉우체국,도봉구,쌍문3동,127.027242159067,37.6479235028158
서울특별시 강북구 솔매로50길 55,서울강북우체국,강북구,송중동,127.02843349604,37.6240291818415
서울특별시 도봉구 도봉로 871,서울도봉1동우체국,도봉구,도봉1동,127.045421459633,37.6822645532969
서울특별시 도봉구 도봉로 686,서울방학동우체국,도봉구,방학1동,,
서울특별시 강북구 오현로35길 65,서울번2동우체국,강북구,번2동,127.037877969153,37.6318079881377
서울특별시 종로구 지봉로 88,서울숭인동우체국,종로구,숭인1동,127.01556942627,37.5780048327666
서울특별시 종로구 율곡로 49,서울안국동우체국,종로구,삼청동,126.984804014244,37.5764861654335
서울특별시 종로구 율곡로 160,서울원남동우체국,종로구,종로1.2.3.4가동,126.996229611043,37.5760264048079
서울특별시 종로구 종로17길 8,서울종로2가우체국,종로구,종로1.2.3.4가동,126.988970930135,37.5707116115999
서울특별시 종로구 종로 207-1,서울종로5가우체국,종로구,종로5.6가동,127.00087467443,37.5711773975
서울특별시 종로구 자하문로 30,서울통의동우체국,종로구,사직동,126.971880769577,37.5788055665221
서울특별시 종로구 혜화로 1,서울혜화동우체국,종로구,혜화동,127.000709093272,37.5858867582063
서울특별시 종로구 세종대로 209,정부서울청사우체국,종로구,사직동,126.975207341063,37.5749078897065
"서울특별시 종로구 대학로 86, 대학본부 내 1층",한국방송통신대학우체국,종로구,이화동,127.003290880975,37.5791954862382
서울특별시 동대문구 천호대로 4,동대문우체국,동대문구,용신동,127.023532104042,37.5747753411
서울특별시 동대문구 사가정길 7,서울답십리우체국,동대문구,용신동,,
서울특별시 동대문구 청계천로 499,서울용두동우체국,동대문구,용신동,,
서울특별시 동대문구 이문로 133,서울이문동우체국,동대문구,이문1동,127.061161522065,37.5985396719435
서울특별시 동대문구 사가정길 240,서울장안2동우체국,동대문구,용신동,,
서울특별시 동대문구 한천로14길 53,서울장안동우체국,동대문구,장안1동,127.065800539138,37.5671217928621
서울특별시 동대문구 전농로 131,서울전농동우체국,동대문구,전농1동,127.057528591598,37.5767536955527
서울특별시 동대문구 고산자로 233,서울제기동우체국,동대문구,용신동,,
서울특별시 동대문구 홍릉길 10,서울청량리우체국,동대문구,용신동,,
서울특별시 동대문구 휘경서길 27,서울휘경동우체국,동대문구,용신동,,
서울특별시 광진구 자양동 자양로 76,동서울우편집중국,광진구,자양2동,127.086107324568,37.5355298293275
서울특별시 송파구 백제고분로 256 (삼전동 72-4),서울삼전동우체국,송파구,삼전동,127.094789999155,37.5023150050427
서울특별시 송파구 백제고분로 42길 5 (송파1동 113-2 여성문화회관 1층),서울송파1동우체국,송파구,송파1동,127.109788230628,37.5059054977082
서울특별시 송파구 동남로 300 (오금동 129-3),서울오금동우체국,송파구,오금동,127.138106738476,37.5021047180331
서울특별시 송파구 양재대로 1218 (오륜동 89-13),서울오륜동우체국,송파구,오륜동,127.137712375583,37.5166909917264
서울특별시 송파구 올림픽로 107 (잠실동 19-7),서울잠실2동우체국,송파구,잠실2동,127.082730590112,37.5120920392073
서울특별시 송파구 잠실로 51-33 (잠실3동 27-12),서울잠실3동우체국,송파구,잠실3동,127.094361673369,37.5131535325847
서울특별시 송파구 신천로 133-1 (신천동 20-5),서울잠실4동우체국,송파구,잠실6동,,
서울특별시 송파구 오금로 90 (신천동 29-1),서울잠실우체국,송파구,잠실6동,,
서울특별시 서대문구 성산로20길 9,서대문우체국,서대문구,신촌동,126.932090752181,37.5608435385878
서울특별시 서대문구 통일로 97 (미근동 209),경찰청우체국,서대문구,충현동,126.966862806889,37.5642133689349
서울특별시 서대문구 거북골로160 (북가좌동 424-29),서울모래내우체국,서대문구,북가좌2동,126.912417362053,37.576080741557
서울특별시 서대문구 신촌로161 (대현동 90-101),서울신촌우체국,서대문구,신촌동,126.943879043205,37.5569404846389
서울특별시 강서구 강서로 448,서울강서우체국,강서구,등촌3동,126.840911504784,37.5652255457542
서울특별시 서대문구 연세로50 (신촌동 134),서울연세대학교우체국,서대문구,신촌동,126.943916239886,37.5660508394158
서울특별시 서대문구 증가로12 (연희동 90-15),서울연희동우체국,서대문구,연희동,126.93161407895,37.5695830146067
서울특별시 서대문구 이화여대길 52 (대현동 11-1),서울이화여자대학교우체국,서대문구,충현동,126.950288837762,37.5644645178259
서울특별시 서대문구 통일로127 (충정로2가 8-2),서울충정로우체국,서대문구,충현동,126.965998898874,37.5658567204517
서울특별시 서대문구 통일로419 (홍제동 158-45),서울홍제동우체국,서대문구,홍제1동,126.946091563998,37.5867089499592
서울특별시 강남구 개포로 619 (개포동),서울강남우체국,강남구,일원2동,127.07811459827,37.493579339367
서울특별시 강남구 선릉로 36 (개포동),서울개포1동우체국,강남구,개포2동,127.060501329717,37.4829976951733
