id,type,code,name,latitude,longitude
25797,subway,S1103TRSU89,09호선 동작(현충원)역,37.5031433,126.978232
25798,subway,S0204TRSU90,05호선 둔촌동역,37.5281162,127.136348
25799,subway,S0204TRSU91,09호선 둔촌오륜역,37.517937,127.142291
25800,subway,S0204TRSU92,09호선 중앙보훈병원역,37.5283362,127.148329
25801,subway,S0406TRSU93,09호선 등촌역,37.5511798,126.864734
25802,subway,S0406TRSU94,09호선 증미역,37.557528,126.861565
25803,subway,S0407TRSU95,05호선 마곡역,37.5602098,126.825479
25804,subway,S0407TRSU96,09호선 마곡나루역,37.5666453,126.827093
25805,subway,S0407TRSU97,공항철도 마곡나루역,37.5653396,126.827606
25806,subway,S0407TRSU98,05호선 발산역,37.5590105,126.837286
25807,subway,S1506TRSU99,05호선 마장역,37.5655419,127.040885
25808,subway,S1703TRSU100,05호선 마천역,37.4944091,127.151938
25809,subway,S1209TRSU101,06호선 망원역,37.5560348,126.910018
25810,subway,S2402TRSU102,07호선 면목역,37.5892042,127.087331
25811,subway,S2402TRSU103,07호선 사가정역,37.5809609,127.08637
25812,subway,S2402TRSU104,07호선 용마산역,37.5740138,127.087042
25813,subway,S2226TRSU105,04호선 혜화역,37.5819285,127.001824
25814,subway,S0205TRSU106,05호선 굽은다리(강동구민회관앞)역,37.546038,127.143148
25815,subway,S0205TRSU107,05호선 명일역,37.5512448,127.143983
25816,subway,S1801TRSU108,05호선 목동역,37.5259537,126.866274
25817,subway,S1801TRSU109,09호선 신목동역,37.544595,126.882818
25818,subway,S1801TRSU110,05호선 오목교(목동운동장앞)역,37.5248437,126.872769
25819,subway,S2403TRSU111,07호선 먹골역,37.6108525,127.077695
25820,subway,S1912TRSU112,02호선 문래역,37.518748,126.894928
25821,subway,S1704TRSU113,08호선 문정역,37.4863793,127.122151
25822,subway,S0301TRSU114,04호선 미아(서울사이버대학)역,37.6294351,127.024719
25823,subway,S0301TRSU115,04호선 미아사거리역,37.6149732,127.030015
25824,subway,S0301TRSU116,우이신설경전철 삼양역,37.6274541,127.01808
25825,subway,S0301TRSU117,우이신설경전철 삼양사거리역,37.622165,127.020107
25826,subway,S0301TRSU118,우이신설경전철 솔샘역,37.6202469,127.013016
25827,subway,S1402TRSU119,03호선 고속터미널역,37.5049926,127.004821
25828,subway,S1402TRSU120,07호선 고속터미널역,37.5049926,127.004821
25829,subway,S1402TRSU121,09호선 고속터미널역,37.5049926,127.004821
25830,subway,S1402TRSU122,09호선 구반포역,37.5011354,126.986104
25831,subway,S1402TRSU123,09호선 사평역,37.5048751,127.011821
25832,subway,S1402TRSU124,09호선 신반포역,37.5043079,126.998895
25833,subway,S1403TRSU125,04호선 남태령역,37.4643658,126.989254
25834,subway,S1403TRSU126,07호선 내방역,37.4875129,126.993151
25835,subway,S1403TRSU127,02호선 방배역,37.4813773,126.997335
25836,subway,S1705TRSU128,05호선 방이역,37.5059829,127.12423
25837,subway,S1705TRSU129,09호선 송파나루역,37.5114091,127.112996
25838,subway,S1705TRSU130,05호선 올림픽공원(한국체대)역,37.5164722,127.131102
25839,subway,S1705TRSU131,09호선 올림픽공원(한국체대)역,37.5164722,127.131102
25840,subway,S1705TRSU132,09호선 한성백제역,37.5166866,127.11547
25841,subway,S0902TRSU133,01호선 방학역,37.6635856,127.044609
25842,subway,S0408TRSU134,05호선 개화산역,37.5723148,126.805606
25843,subway,S0408TRSU135,05호선 김포공항역,37.5650124,126.802954
25844,subway,S0408TRSU136,09호선 김포공항역,37.5650124,126.802954
25845,subway,S0408TRSU137,공항철도 김포공항역,37.5650124,126.802954
25846,subway,S0408TRSU138,김포도시철도 김포공항역,37.5650124,126.802954
25847,subway,S0408TRSU139,05호선 방화역,37.5771736,126.812624
25848,subway,S0408TRSU140,09호선 신방화역,37.5675023,126.815987
25849,subway,S1615TRSU141,06호선 보문역,37.5854229,127.01969
25850,subway,S1616TRSU142,우이신설경전철 보문역,37.5849455,127.019509
25851,subway,S1104TRSU143,09호선 노들역,37.5125237,126.952045
25852,subway,S0502TRSU144,02호선 낙성대(강감찬)역,37.4753901,126.968191
25853,subway,S0502TRSU145,신림선 당곡역,37.4898419,126.927715
25854,subway,S0502TRSU146,02호선 봉천역,37.4825425,126.941471
25855,subway,S0502TRSU147,02호선 서울대입구(관악구청)역,37.4813491,126.952009
25856,subway,S2105TRSU148,06호선 독바위역,37.6183625,126.932833
25857,subway,S1105TRSU149,07호선 남성역,37.4847162,126.971092
25858,subway,S1105TRSU150,04호선 사당역,37.4768977,126.981609
25859,subway,S1105TRSU151,02호선 사당역,37.4765092,126.9759
25860,subway,S1105TRSU152,07호선 이수역,37.4849526,126.980658
25861,subway,S1105TRSU153,04호선 총신대입구(이수)역,37.4890614,126.982386
25862,subway,S1622TRSU154,04호선 한성대입구(삼선교)역,37.5880552,127.005787
25863,subway,S0105TRSU155,수인분당선 강남구청역,37.517168,127.041301
25864,subway,S0105TRSU156,07호선 강남구청역,37.517168,127.041301
25865,subway,S0105TRSU157,09호선 봉은사역,37.5145097,127.06184
25866,subway,S0105TRSU158,02호선 삼성(무역센터)역,37.5073938,127.058001
25867,subway,S0105TRSU159,09호선 삼성중앙역,37.5116236,127.04848
25868,subway,S0105TRSU160,수인분당선 선릉역,37.5073938,127.058001
25869,subway,S0105TRSU161,02호선 선릉역,37.5073938,127.058001
25870,subway,S0105TRSU162,수인분당선 선정릉역,37.5120581,127.043244
25871,subway,S0105TRSU163,09호선 선정릉역,37.5120581,127.043244
25872,subway,S1706TRSU164,09호선 석촌고분역,37.503179,127.096924
25873,subway,S0802TRSU165,04호선 노원역,37.6561896,127.06268
25874,subway,S0802TRSU166,07호선 노원역,37.6535687,127.060752
25875,subway,S0802TRSU167,04호선 불암산역,37.6706224,127.0794
25876,subway,S0802TRSU168,07호선 마들역,37.6658056,127.057463
25877,subway,S0802TRSU169,04호선 상계역,37.6613728,127.073973
25878,subway,S0802TRSU170,07호선 수락산역,37.6762849,127.055317
25879,subway,S1106TRSU171,07호선 상도역,37.5035927,126.947188
25880,subway,S1107TRSU172,07호선 숭실대입구역,37.495856,126.953978
25881,subway,S1107TRSU173,07호선 장승배기역,37.5052223,126.944551
25882,subway,S2404TRSU174,경의선 망우역,37.5995442,127.091838
25883,subway,S2404TRSU175,경춘선 망우역,37.5995442,127.091838
25884,subway,S2404TRSU176,경춘선 상봉(시외버스터미널)역,37.59672,127.085256
25885,subway,S2404TRSU177,07호선 상봉(시외버스터미널)역,37.59672,127.085256
25886,subway,S2404TRSU178,경의선 상봉(시외버스터미널)역,37.59672,127.085256
25887,subway,S1210TRSU179,06호선 상수역,37.5479261,126.922917
25888,subway,S1627TRSU180,06호선 상월곡(한국과학기술연구원)역,37.6075153,127.050636
25889,subway,S0206TRSU181,05호선 강일역,37.5560488,127.176168
25890,subway,S0206TRSU182,05호선 상일동역,37.55349,127.156866
25891,subway,S1212TRSU183,06호선 합정역,37.5500917,126.914608
25892,subway,S1225TRSU184,02호선 합정역,37.5489197,126.913648
25893,subway,S2010TRSU185,경의선 서빙고역,37.5199217,126.990161
25894,subway,S1404TRSU186,"03호선 교대(법원, 검찰청)역",37.4954317,127.01917
25895,subway,S1404TRSU187,"02호선 교대(법원, 검찰청)역",37.4954317,127.01917
25896,subway,S1404TRSU188,03호선 남부터미널(예술의전당)역,37.4855932,127.0159
25897,subway,S1404TRSU189,02호선 서초역,37.4922883,127.008959
25898,subway,S1404TRSU190,03호선 양재(서초구청)역,37.4847608,127.033369
25899,subway,S1404TRSU191,신분당선 양재(서초구청)역,37.4847608,127.033369
25900,subway,S1628TRSU192,06호선 돌곶이역,37.6104945,127.057331
25901,subway,S1707TRSU193,08호선 석촌역,37.5078217,127.104598
25902,subway,S1707TRSU194,09호선 석촌역,37.5078217,127.104598
25903,subway,S0207TRSU195,08호선 강동구청역,37.530656,127.120559
25904,subway,S1213TRSU196,06호선 마포구청역,37.5633995,126.903342
25905,subway,S1213TRSU197,06호선 월드컵경기장(성산)역,37.569937,126.899009
25906,subway,S1509TRSU198,02호선 뚝섬역,37.5471774,127.047337
25907,subway,S1509TRSU199,수인분당선 서울숲역,37.544205,127.044936
25908,subway,S1510TRSU200,02호선 성수역,37.5446685,127.056965
25909,subway,S2235TRSU201,05호선 광화문(세종문화회관)역,37.5706546,126.976661
25910,subway,S0107TRSU202,03호선 수서역,37.4880842,127.10067
25911,subway,S0107TRSU203,수인분당선 수서역,37.4880842,127.10067
25912,subway,S0303TRSU204,우이신설경전철 가오리역,37.6416447,127.016758
25913,subway,S0303TRSU205,04호선 수유(강북구청)역,37.6401291,127.027782
25914,subway,S0303TRSU206,우이신설경전철 화계역,37.6335358,127.017527
25915,subway,S2269TRSU207,06호선 동묘앞역,37.5727646,127.0156
25916,subway,S2240TRSU208,01호선 동묘앞역,37.5735843,127.017117
25917,subway,S0703TRSU209,01호선 금천구청역,37.4539387,126.89476
25918,subway,S1916TRSU210,01호선 대방역,37.5132936,126.925679
25919,subway,S1916TRSU211,신림선 대방역,37.5128971,126.925476
