정류장명,위도,경도
안국역.서울공예박물관,37.576413,126.984888
창덕궁,37.57722809,126.9890031
남인사마당,37.57131917,126.9874286
평창파출소,37.60568122,126.9668167
삼청공원,37.58822768,126.9816469
수성동계곡,37.582082,126.964469
명륜3가종점,37.59094838,126.9928637
명륜새마을금고,37.587785,126.996798
서대문3번출구,37.566336,126.966397
낙산공원,37.58040372,127.0087216
인사미술공간.세탁소,37.58141098,126.9893671
화정박물관,37.6048012,126.9648837
금융연수원,37.586641,126.981657
박노수미술관,37.58099674,126.9666035
샘미용실,37.59030953,126.9932227
서울국제고등학교,37.58907159,126.9972903
화정박물관,37.60498061,126.9652008
적십자병원후문앞,37.56752954,126.9652273
서울성곽.성대후문,37.5892577,126.9896321
빨래터.고희동미술관,37.58299,126.989067
세검초등학교,37.60425228,126.9614908
삼청동주민센터,37.58426383,126.9819072
통인시장,37.580468,126.968753
양현관,37.58979142,126.9936044
국민생활관,37.58974563,126.998862
오거리,37.60706212,126.9622629
경희궁자이2.3단지,37.56878711,126.9640686
창신쌍용2단지.한성대후문,37.5812648,127.0127581
통일부,37.58759481,126.9859477
원서고개,37.58308055,126.9878088
종로5가입구.혜화경찰서,37.571797,126.997681
삼청파출소,37.58181366,126.981251
오거리.한옥마을입구,37.579537,126.969561
명륜시장.성대후문,37.58851105,126.9952543
혜화초등학교,37.58725323,126.9998517
청련사입구,37.60798038,126.9624312
영천시장,37.570084,126.962735
명신초.삼선푸르지오.힐스테이트,37.58210621,127.0145563
감사원,37.58621065,126.9852901
중앙중고,37.58309218,126.9869653
인왕빌딩,37.60792833,126.9577443
종로4가.종묘공원,37.570689,126.994624
국립민속박물관,37.57925518,126.9795534
광화문새마을금고,37.57936877,126.9711466
새마을금고,37.58773706,126.9965181
혜화우체국,37.58603766,127.0006137
언덕앞,37.60895398,126.9637922
경희궁자이4단지,37.57136,126.961358
종로센트레빌후문.e편한세상보문아파트,37.58177439,127.0161855
사우디대사관앞.경남빌라,37.58410567,126.9850312
안국선원.삼거리,37.58279098,126.9849941
구기터널입구,37.60820461,126.9567769
종로3가.1.3.5호선,37.57158,126.991965
경복궁,37.57695016,126.9793378
소나무집,37.61127707,126.9641105
독립문역3번출구,37.57287848,126.9597453
청룡사.보문파크뷰자이아파트,37.58001895,127.0170071
북촌한옥마을입구.정세권활동터,37.58159973,126.9849422
종로1.2.3.4가동주민센터,37.57438371,126.9911314
창덕궁,37.57676,126.990385
아름다운실버,37.61201006,126.9654637
독립문초등학교,37.57384748,126.9607207
종로센트레빌아파트,37.58035344,127.0156927
가회동주민센터,37.579973,126.984957
구기빌라,37.60626861,126.9579797
원남로터리,37.57623737,126.9975115
보현산신각,37.61348252,126.9657791
천사유치원,37.57464802,126.9618604
쌍용아파트입구.창신역,37.58051123,127.0149636
아름다운가게.정독도서관,37.57895,126.985123
산정빌라,37.60515199,126.9574922
이화사거리,37.576513,127.002101
박종화고택입구,37.61431026,126.9676873
무악현대아파트후문,37.57630608,126.962001
헌법재판소.안국역,37.577387,126.985816
청구빌라,37.60461026,126.956984
서울대어린이병원응급실.갑상선센터,37.578686,126.99984
화인빌라,37.61293453,126.9685386
넓은마당,37.57527281,126.962888
창신초등학교,37.5769032,127.0153886
수운회관,37.575219,126.986671
상명대후문,37.60402558,126.9573354
힐탑,37.61160556,126.9690206
신학대학교총회본부,37.57397631,126.9634446
낙원상가,37.57376,126.987417
완성빌라,37.60340209,126.9575011
서울대병원장례식장,37.5805554,126.997431
혜화역1번출구,37.583485,127.001843
감나무골공원,37.61240596,126.9699479
한국사회과학자료원,37.57363321,126.9641433
동묘역,37.57269435,127.0142454
금강제화,37.57057,126.98756
경진빌라,37.60200372,126.9578304
성균관대학교앞,37.58325978,126.9993359
청와대,37.582971,126.973762
춘추문,37.583126,126.979657
경복궁.국립민속박물관,37.579407,126.97959
효자로입구(가상),37.57626474,126.9744334
EN갤러리,37.613411,126.970607
성균관대정문,37.584957,126.99662
600주년기념관,37.587329,126.993942
성균관대운동장,37.587863,126.99237
학생회관,37.587445,126.993738
종로문화센터,37.57464708,126.9646262
동대문역.2번출구,37.57204945,127.0117218
종각역YMCA,37.570379,126.985096
서교빌라,37.60198906,126.9571554
경복궁역,37.57707221,126.9724733
성대입구,37.5832668,126.998853
무애사,37.61390043,126.9718458
단군성전앞,37.57556009,126.9653175
동대문종합시장,37.571212,127.00496
상명초등학교,37.60092381,126.9567154
법련사,37.57658798,126.9796651
광화문새마을금고,37.57949309,126.9710277
