지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 중구 을지로3가 315-4번지 을지병원 4층,"서울특별시 중구 을지로14길 8 (을지로3가, 을지빌딩 본관)",4550,을지 휘트니스,126.991761067045,37.5659583663279
서울특별시 중구 명동1가 38-1 명동포커스빌딩,"서울특별시 중구 명동9길 21, 명동포커스빌딩 (명동1가)",4534,1872 핀,126.984520932669,37.5647844520252
서울특별시 중구 황학동 산 2545번지 롯데베네치아메가홀 지하2층 2002,"서울특별시 중구 청계천로 지하 400, 메가홀동 2층 2002호 (황학동, 롯데베네치아)",100-440,황금스파,,
서울특별시 중구 명동1가 7-12번지 태흥빌딩13충,"서울특별시 중구 명동길 55, 1동 13층 (명동1가)",4538,제이엘스포츠,126.985394525951,37.5641417024991
서울특별시 중구 수하동 67번지 미래에셋 센터원빌딩 서관3층,,,(주)센터원웰니스,,
서울특별시 중구 정동 34-7번지,,,중앙골프연습장,,
서울특별시 중구 필동2가 19-19번지,,,굿샷골프클럽,,
서울특별시 중구 명동2가 105번지,,,포인트골프방,,
서울특별시 중구 장충동2가 산 5-5,,,Banyan Tree Club&SPA Seoul Golf,,
서울특별시 중구 주교동 96-1번지 코리아빌딩 8층,,,코리아스크린골프,,
서울특별시 중구 신당동 52-299번지 지하1층,,,신당스크린골프,,
서울특별시 중구 오장동 90-12번지 4층,,,다인스크린골프,,
서울특별시 중구 남창동 52-1번지 지하2층,,,코코스크린골프,,
서울특별시 중구 신당동 48-1번지 지하1층,,,에이스스크린골프존,,
서울특별시 중구 인현동2가 192-30번지 지하1층 B20호,,,원스크린골프장,,
서울특별시 중구 인현동2가 181-26번지 3층,,,수남스크린골프,,
"서울특별시 중구 필동2가 19-19번지 필동빌딩 2,3층 ","서울특별시 중구 퇴계로36길 37, 2,3층 (필동2가, 필동빌딩)",4625,예스통상,,
서울특별시 중구 정동 34-5번지 배재정동빌딩 1층 A동,"서울특별시 중구 서소문로11길 19, A동 1층 (정동, 배재정동빌딩)",4516,엠피트니스,126.972089131199,37.5637878280982
,서울특별시 중구 퇴계로78길 지하 17 (신당동),4585,플라이비 골프존,,
,"서울특별시 중구 정동길 17 (정동, 이화정동빌딩)",4518,(주)이화골프존파크,126.970642082697,37.567161887661
,"서울특별시 중구 다동길 46 (다동, 다동빌딩)",4522,무교스크린,126.981726148037,37.5678614943581
서울특별시 중구 저동2가 78 비즈센터,"서울특별시 중구 수표로 45, 비즈센터 (저동2가)",4551,을지 골프존,126.989596182183,37.5653393912938
"서울특별시 중구 신당동 843 신당동삼성아파트, 상가1동 102호","서울특별시 중구 청구로1길 23, 상가1동 102호 (신당동, 신당동삼성아파트)",4588,JS골프아카데미,127.01844745293,37.5585358838305
서울특별시 중구 신당동 62-7번지 우석빌딩 1층,,,벤호건 스크린골프,,
서울특별시 중구 황학동 2545-2번지 롯데캐슬베네치아 제메가몰가동 3층(301~304),,,뉴-캐슬 스크린골프,,
서울특별시 중구 신당동 309-50외4,,,뉴코리아골프연습장,,
서울특별시 중구 신당동 361-24번지 3층,,,그린골프교실,,
서울특별시 중구 의주로1가 25-10번지 지하1층,,,바비엥 휘트니스클럽,,
서울특별시 중구 장충동2가 26-1번지 지하1층,,,장충골프연습장,,
서울특별시 중구 을지로3가 315-4번지 을지빌딩4층,,,팜 휘트니스,,
서울특별시 중구 정동 23-8번지 갑도빌딩 4층,,,AURUM GOLF,,
서울특별시 중구 을지로6가 17-2번지,,,프레야골프연습장,,
서울특별시 중구 신당동 295-27번지,,,신흥골프스쿨,,
서울특별시 중구 남대문로5가 541번지,,,웰리스,,
서울특별시 중구 남창동 1-2번지,,,새로나휘트니스,,
서울특별시 중구 흥인동 13-1번지,,,뉴)월드스포랜드,,
서울특별시 중구 북창동 104-0번지,,,동아골프연습장,,
서울특별시 중구 서소문동 47-2번지,,,동방골프샵연습장,,
서울특별시 중구 충무로2가 50-6번지,,,호성흥업(주),,
서울특별시 중구 을지로3가 95-7번지,,,을지피지에이골프클럽,,
서울특별시 중구 소공동 110-0번지,,,소공골프연습장,,
서울특별시 중구 장교동 1-0번지 장교빌딩1층,,,장교 휘트니스 센터,,
서울특별시 중구 신당동 353-8번지,,,남산골프연습장,,
서울특별시 중구 충무로4가 12-1번지 옥상,,,일진개발,,
서울특별시 중구 중림동 200번지 싸이버빌리지아파트3동지층901호,,,클럽 J L,,
서울특별시 중구 신당동 843번지 삼성아파트 상가1동 102호,,,삼성훼밀리골프,,
서울특별시 중구 무교동 19 체육회관빌딩 9층,,,피트니스온 골프아카데미,,
서울특별시 중구 명동2가 53-1번지 프라리스빌딩 지하1층,,,명동힐스크린,,
서울특별시 중구 신당동 산 251-78번지 지하1층,,,스카이스크린골프,,
"서울특별시 중구 을지로6가 산 18-21 굿모닝시티쇼핑목 지하3층 14,15호 ",,,굿모닝스크린골프,,
서울특별시 중구 태평로1가 61-1번지,,,코리아나스포렉스,,
서울특별시 중구 소공동 112-6번지 지하1층,,,소공스크린골프,,
서울특별시 중구 황학동 2545번지 롯데캐슬베네치아,"서울특별시 중구 청계천로 400, 메가몰동 B1063~1069호 (황학동, 롯데캐슬베네치아)",4572,베네치아 스포츠센터,127.021463886656,37.5708105464699
서울특별시 용산구 한남동 96-3번지 신성미소시티 지하1층,"서울특별시 용산구 독서당로 39, 지하1층 (한남동, 신성미소시티)",4410,한남스포렉스(스크린골프),127.007000144767,37.5315958889326
서울특별시 용산구 남영동 120-2번지,"서울특별시 용산구 한강대로 256, 지하1층 (남영동, 수빌딩)",4352,신용산 스크린방,126.973524479551,37.5412889756086
서울특별시 용산구 이촌동 301-87번지 지하1층,"서울특별시 용산구 이촌로 223-13, 지하1층 (이촌동, 농업기술진흥관)",4422,PGA골프클리닉,126.972067403072,37.5213165943831
서울특별시 용산구 청파동3가 132-146번지 2층,"서울특별시 용산구 효창원로 164, 2층 (청파동3가)",4312,효창스크린골프,126.96288411825,37.5426676134162
서울특별시 용산구 원효로1가 133-3 리첸시아 용산,"서울특별시 용산구 백범로 341, B동 B1층 103,104,105,111,116호 (원효로1가, 리첸시아 용산)",4315,리첸시아 골프,126.967973433167,37.5379386735674
서울특별시 용산구 한강로3가 16-58,"서울특별시 용산구 청파로 48 (한강로3가, 용산전자오피스텔)",4373,용산스크린골프,126.956817777025,37.5321423174177
서울특별시 용산구 한강로1가 215-5번지 지층,"서울특별시 용산구 한강대로62길 41, 지층 (한강로1가)",4382,PGA골프스쿨,126.973746196928,37.5330703696226
서울특별시 용산구 한남동 737-28 안성타워 306호,"서울특별시 용산구 이태원로 217, 306호 (한남동, 안성타워)",4349,에이치원골프존파크 이태원,126.997906520276,37.535176385593
서울특별시 용산구 문배동 40-31,"서울특별시 용산구 백범로 341, 지하 101,102,106,107호 (문배동, 리첸시아 용산B)",4368,스포짐,,
서울특별시 용산구 산천동 202번지,"서울특별시 용산구 원효로 51, 지하1층 (산천동, 삼성테마트단지내상가)",4359,원효스크린골프,126.950070316419,37.533863362459
서울특별시 용산구 한남동 110-1,"서울특별시 용산구 독서당로 23, 5층 (한남동)",4410,골프존파크 한남리버,127.007168059244,37.5306091922627
서울특별시 용산구 동자동 12,"서울특별시 용산구 후암로 107, 지하2층 (동자동, 동부화재 동자동사옥)",4323,PENTACLE,126.97356408407,37.5534616592161
"서울특별시 용산구 산천동 202 4층, 삼성테마트 ","서울특별시 용산구 원효로 51, 4층 (산천동, 삼성테마트)",4359,용산JY골프아카데미,126.950070316419,37.533863362459
서울특별시 용산구 이촌동 301-160번지,"서울특별시 용산구 이촌로 303 (이촌동, 현대아파트)",4424,현대아파트실내골프장,126.98115440183,37.5189128959625
서울특별시 용산구 이태원동 22-2,"서울특별시 용산구 장문로 27, 4층 (이태원동)",4392,청화골프클럽,126.993672893038,37.5291071806126
서울특별시 용산구 한강로3가 16-85 GS한강에클라트(지하1층),"서울특별시 용산구 이촌로 1, 지하1층 (한강로3가, GS한강에클라트)",4373,원짐,126.955345962773,37.5313838478733
서울특별시 용산구 신계동 24-8번지 사이버빌딩 2층,"서울특별시 용산구 새창로45길 30, 2층 (신계동, 사이버빌딩)",4370,사이버 스크린 골프,126.963968031538,37.5346503090403
서울특별시 용산구 원효로3가 51-31번지 전자랜드별관 지하 1층,"서울특별시 용산구 청파로 75, 지하1층 (원효로3가, 전자랜드별관)",4366,랜드골프존스크린,126.959093300834,37.5334279550363
서울특별시 용산구 이촌동 302-88 크리앙스빌딩 지하1층,"서울특별시 용산구 이촌로64길 24, 지하1층 (이촌동, 크리앙스빌딩)",4427,이촌 다온 스크린,126.969871897307,37.5200049152766
"서울특별시 용산구 신계동 24-9번지 2,3층 ","서울특별시 용산구 새창로45길 30, 2,3층 (신계동)",4370,사이버스크린 골프,,
서울특별시 용산구 한강로2가 420 용산푸르지오써밋,"서울특별시 용산구 한강대로 69, B1층 119,120,121호 (한강로2가, 용산푸르지오써밋)",4378,써밋 스크린골프,126.964892234354,37.5270404595814
서울특별시 용산구 청파동3가 132-18번지,"서울특별시 용산구 효창원로 164 (청파동3가, 효창골프연습장)",4312,효창 골프연습장,126.96288411825,37.5426676134162
서울특별시 용산구 청파동1가 180-24번지,서울특별시 용산구 청파로 312 (청파동1가),4301,동서산업진흥(주),126.970452474932,37.5474170244174
서울특별시 용산구 동빙고동 1-66번지 지하2층,"서울특별시 용산구 장문로 41, 지하2층 (동빙고동)",4392,프로골프아카데미,126.994994723155,37.527747632348
서울특별시 용산구 후암동 251-13번지 수복당 B101호,"서울특별시 용산구 후암로4길 5, B101호 (후암동, 수복당)",4331,수복골프연습장,126.978519248921,37.5467549114324
서울특별시 용산구 이촌동 300-58번지 지하1층,"서울특별시 용산구 이촌로 276-1, 지하1층 (이촌동)",4426,이촌골프클럽,126.97739603702,37.5185845416152
서울특별시 성동구 성수동2가 281-8 YD빌딩,"서울특별시 성동구 광나루로 320-2, YD빌딩 3층 (성수동2가)",4799,성수 제이펍,127.064945340147,37.5479055282771
