파출소명,경도,위도
우면파출소,127.0160222,37.45610422
내곡파출소,127.0648011,37.45498921
서래파출소,126.9969691,37.50211081
이수파출소,126.9888457,37.49414903
방배1파출소,126.9953191,37.48394465
왕십리파출소,127.0326577,37.56666845
행당파출소,127.0288962,37.55739277
옥수파출소,127.0143368,37.54383721
금호파출소,127.0196105,37.55472412
응봉파출소,127.0300566,37.54980247
용답파출소,127.0517855,37.56478753
정릉파출소,127.0086036,37.61607225
정릉2파출소,127.0107087,37.60456104
성북파출소,126.9984737,37.5932739
석관파출소,127.0552772,37.60896162
종암파출소,127.0312636,37.60009568
마천파출소,127.1482275,37.4970407
거여파출소,127.1426455,37.48747708
풍납파출소,127.117135,37.53413388
오금파출소,127.1280971,37.50689601
신천파출소,127.112577,37.52013675
송파위례파출소,127.1458539,37.47788193
신월1파출소,126.8322469,37.5320699
신정3파출소,126.8550084,37.51490262
신월5파출소,126.8307071,37.5390892
양평파출소,126.8896861,37.52272476
대림3파출소,126.8966375,37.49898779
영등포역파출소,126.9088446,37.51545379
이태원파출소,126.9944131,37.53425851
한남파출소,127.0063673,37.53110137
보광파출소,127.0002489,37.52672267
삼각지파출소,126.974701,37.5361156
녹번파출소,126.9318618,37.60881975
응암3파출소,126.9175349,37.59052771
역촌파출소,126.9150868,37.60461026
진관파출소,126.9209111,37.63995824
대조파출소,126.9242648,37.60866015
관수파출소,126.9863455,37.56869671
세검정파출소,126.9584633,37.60002403
평창파출소,126.9666324,37.60527039
삼청파출소,126.9814623,37.58234341
통의파출소,126.9739989,37.57678287
청운파출소,126.9705908,37.58422788
옥인파출소,126.9694326,37.58147055
교남파출소,126.9622054,37.57179898
신문로파출소,126.9722352,37.57075661
사직파출소,126.9690361,37.57655552
청진파출소,126.9826691,37.57300569
혜화파출소,127.0014085,37.58608758
대학로파출소,127.0060453,37.57856955
명륜파출소,126.9976087,37.58928789
창신파출소,127.0135646,37.57847071
동묘파출소,127.0171384,37.57270839
덕산파출소,127.0093392,37.57438511
종로5가파출소,127.0016074,37.57071662
효제파출소,127.0048766,37.57292938
신당파출소,127.0163896,37.56505003
장충파출소,127.0048078,37.5587513
충무파출소,126.9915567,37.5608306
을지로3가파출소,126.9928645,37.56620783
세종로파출소,126.9764432,37.56898347
태평로파출소,126.9799966,37.56801195
서울역파출소,126.9716812,37.55689465
명동파출소,126.9839684,37.56359047
남대문파출소,126.9763909,37.55901574
중림파출소,126.9671108,37.55788186
회현파출소,126.9787316,37.55845036
서소문파출소,126.9754703,37.56382327
면목본동파출소,127.0938799,37.58819462
면목삼팔파출소,127.0841733,37.58318882
상봉파출소,127.0728473,37.59130619
먹골파출소,127.0815629,37.61460279
다산치안센터,128.4588167,35.86222602
DDP치안센터,126.9922981,37.57117769
충4치안센터,126.9953459,37.56240215
무학치안센터,126.9922981,37.57117769
황학치안센터,126.9922981,37.57117769
구기치안센터,126.9563967,37.60951251
종로3가치안센터,126.9922981,37.57117769
효제치안센터,126.9922981,37.57117769
북아현치안센터,126.9553784,37.56245147
신촌치안센터,127.9527072,37.51439281
북아현1치안센터,126.9553784,37.56245147
청파치안센터,126.9708962,37.54409038
남영치안센터,,
용산치안센터,126.9856695,37.54600681
한남2치안센터,127.0015207,37.53978357
이촌한강치안센터,126.9626747,37.52049985
이촌치안센터,126.9733066,37.5213668
코엑스치안센터,127.0592782,37.5100077
청담2치안센터,127.0305331,37.53061105
압구정치안센터,127.0305331,37.53061105
도곡치안센터,127.0322166,37.49388567
역서치안센터,127.0322166,37.49388567
은마치안센터,127.0614832,37.49835747
수서역치안센터,,
천호2치안센터,127.1182736,37.54583673
천호3치안센터,127.1182736,37.54583673
길동2치안센터,127.1673826,37.54700269
암사1치안센터,127.1182736,37.54583673
천호1치안센터,127.1182736,37.54583673
성내2치안센터,127.1182736,37.54583673
명일1치안센터,127.1182736,37.54583673
상일치안센터,127.1673826,37.54700269
동화치안센터,127.0267799,37.62714806
미아3치안센터,127.0267799,37.62714806
숭인치안센터,127.0135003,37.58620575
우이치안센터,127.0129974,37.66311676
번2치안센터,,
수유6치안센터,127.0157815,37.6442039
화곡본동치안센터,126.8453818,37.5437837
개화2치안센터,126.7999409,37.57930117
보라매치안센터,126.9292863,37.48189631
행운치안센터,,
인헌치안센터,126.9410669,37.47822035
서원치안센터,126.9292863,37.48189631
신원치안센터,126.9708962,37.54409038
청룡2치안센터,126.9410669,37.47822035
대학동치안센터,126.9410669,37.47822035
삼성치안센터,127.0592782,37.5100077
청림치안센터,129.4036358,35.99564823
난곡치안센터,126.9292863,37.48189631
자양2치안센터,127.0847367,37.52882584
대공원치안센터,127.0129672,37.4363904
구의3치안센터,127.0978986,37.53918798
구로치안센터,126.8529377,37.49800443
신도림치안센터,126.8808649,37.50766043
구로1치안센터,126.8751637,37.49119677
구로2치안센터,126.8833096,37.49130241
개봉1치안센터,126.8529377,37.49800443
개봉치안센터,126.8529377,37.49800443
개봉3치안센터,126.8538254,37.48585275
수궁치안센터,126.8529377,37.49800443
독산본치안센터,,
시흥4치안센터,,
시흥5치안센터,,
시흥본치안센터,126.9041975,37.45553218
