type,자치구,법정동,지번주소,월세(만원),보증금(만원),관리비(만원),면적,층수,위도,경도,주실 방향,주차,난방시설,엘리베이터,생활시설,안전시설,법정동_정제,행정동,행정동_정제
원룸,서울 서대문구,대신동 126-22,서울 서대문구 대신동 126-22,40,2000,10.0,23.1m²,1층,37.56799086,126.9464322,남동향(안방 기준),있음,중앙난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 공동현관",대신동,신촌동,서울특별시 서대문구 신촌동
원룸,서울 관악구,신림동 1574-20,서울 관악구 신림동 1574-20,65,0,8.0,19.8m²,1층,37.4815902,126.9203079,동향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",신림동,미성동,서울특별시 관악구 미성동
원룸,서울 관악구,신림동 98-58,서울 관악구 신림동 98-58,35,300,7.0,16.5m²,2층,37.47477924,126.9416711,남동향(거실 기준),있음,중앙난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",신림동,서림동,서울특별시 관악구 서림동
원룸,서울 관악구,신림동 88-85,서울 관악구 신림동 88-85,35,0,9.0,16.5m²,3층,37.48137976,126.9315794,북동향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기","디지털도어락, 소화기, 화재경보기",신림동,서원동,서울특별시 관악구 서원동
원룸,서울 관악구,신림동 469-11,서울 관악구 신림동 469-11,45,200,0.0,16.5m²,2층,37.48564138,126.9206821,서향(안방 기준),없음,개별난방,있음,"냉장고, 인덕션, 세탁기",공동현관,신림동,신사동,서울특별시 관악구 신사동
원룸,서울 관악구,신림동 1641-77,서울 관악구 신림동 1641-77,40,500,8.0,16.5m²,1층,37.47952338,126.931842,동향(거실 기준),있음,개별난방,있음,"냉장고, 세탁기, 옷장(행거)","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,서원동,서울특별시 관악구 서원동
원룸,서울 서대문구,연희동 42-13,서울 서대문구 연희동 42-13,55,1000,10.0,19.8m²,2층,37.56549951,126.933333,동향(안방 기준),없음,개별난방,없음,"냉장고, 세탁기, 가스레인지, 책상",공동현관,연희동,연희동,서울특별시 서대문구 연희동
원룸,서울 관악구,신림동 244-116,서울 관악구 신림동 244-116,45,500,0.0,19.8m²,1층,37.46897032,126.9405582,북향(안방 기준),없음,중앙난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 공동현관, 화재경보기",신림동,대학동,서울특별시 관악구 대학동
투룸,서울 관악구,신림동 1435-20,서울 관악구 신림동 1435-20,80,1000,0.0,39.7m²,2층,37.48548824,126.9268696,동향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 세탁기, 가스레인지","CCTV, 디지털도어락, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 1576-20,서울 관악구 신림동 1576-20,35,0,7.0,16.5m²,반지하,37.48247653,126.9214063,남향(안방 기준),있음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거)","CCTV, 인터폰",신림동,미성동,서울특별시 관악구 미성동
원룸,서울 관악구,신림동 251-75,서울 관악구 신림동 251-75,20,3000,8.0,16.5m²,4층,37.46669001,126.9397753,동향(안방 기준),있음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,대학동,서울특별시 관악구 대학동
원룸,서울 관악구,봉천동 1524-34,서울 관악구 봉천동 1524-34,40,0,8.0,26.4m²,반지하,37.48167039,126.9392568,남향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",봉천동,청룡동,서울특별시 관악구 청룡동
원룸,서울 관악구,봉천동 1512-8,서울 관악구 봉천동 1512-8,40,1000,10.0,13.2m²,1층,37.48398378,126.9497336,북동향(안방 기준),있음,중앙난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",봉천동,중앙동,서울특별시 관악구 중앙동
원룸,서울 관악구,봉천동 886-74,서울 관악구 봉천동 886-74,40,0,8.0,19.8m²,반지하,37.48379789,126.9490611,남향(안방 기준),있음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",봉천동,중앙동,서울특별시 관악구 중앙동
원룸,서울 관악구,봉천동 866-1,서울 관악구 봉천동 866-1,100,200,0.0,23.1m²,2층,37.48015891,126.9514598,남서향(거실 기준),있음,개별난방,있음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",봉천동,청룡동,서울특별시 관악구 청룡동
원룸,서울 관악구,봉천동 100-122,서울 관악구 봉천동 100-122,45,500,13.0,23.1m²,2층,37.48281865,126.9602824,북동향(안방 기준),없음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","디지털도어락, 공동현관, 인터폰, 화재경보기",봉천동,행운동,서울특별시 관악구 행운동
원룸,서울 관악구,신림동 1439-36,서울 관악구 신림동 1439-36,61,1000,15.0,33.1m²,5층,37.48756918,126.9269762,서향(거실 기준),없음,개별난방,있음,"냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 480-37,서울 관악구 신림동 480-37,45,0,5.0,19.8m²,3층,37.48595992,126.9184842,동향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 세탁기, 옷장(행거), 가스레인지, 전자레인지","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,신사동,서울특별시 관악구 신사동
원룸,서울 관악구,봉천동 954-13,서울 관악구 봉천동 954-13,28,200,10.0,19.8m²,반층,37.48706225,126.9367804,남동향(안방 기준),없음,중앙난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","디지털도어락, 공동현관, 인터폰",봉천동,보라매동,서울특별시 관악구 보라매동
원룸,서울 관악구,신림동 479-33,서울 관악구 신림동 479-33,45,500,7.0,16.5m²,반지하,37.48631591,126.9182168,북향(안방 기준),없음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,신사동,서울특별시 관악구 신사동
원룸,서울 관악구,신림동 1432-14,서울 관악구 신림동 1432-14,60,1000,10.0,19.8m²,10층,37.4869501,126.9278604,동향(안방 기준),없음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 98-309,서울 관악구 신림동 98-309,26,200,9.0,16.5m²,1층,37.47487261,126.9417146,남동향(안방 기준),없음,개별난방,없음,"냉장고, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,서림동,서울특별시 관악구 서림동
원룸,서울 동작구,신대방동 344-104,서울 동작구 신대방동 344-104,20,100,10.0,16.5m²,4층,37.49485409,126.9268144,남동향(안방 기준),없음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 공동현관, 인터폰",신대방동,신대방2동,서울특별시 동작구 신대방2동
원룸,서울 동작구,상도동 299-110,서울 동작구 상도동 299-110,35,300,10.0,19.8m²,반층,37.49511734,126.9311208,남동향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","디지털도어락, 공동현관, 인터폰",상도동,상도3동,서울특별시 동작구 상도3동
원룸,서울 관악구,신림동 1662-5,서울 관악구 신림동 1662-5,33,200,7.0,16.5m²,반지하,37.48186977,126.9020725,남향(거실 기준),없음,중앙난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","디지털도어락, 공동현관",신림동,조원동,서울특별시 관악구 조원동
원룸,서울 관악구,신림동 1435-14,서울 관악구 신림동 1435-14,40,500,5.0,19.8m²,반지하,37.48533925,126.9272255,동향(안방 기준),없음,개별난방,없음,"냉장고, 가스레인지","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 10-438,서울 관악구 신림동 10-438,50,0,6.0,26.4m²,반지하,37.48352095,126.9349919,동향(안방 기준),있음,개별난방,없음,"냉장고, 세탁기, 옷장(행거), 가스레인지","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,서원동,서울특별시 관악구 서원동
원룸,서울 관악구,신림동 1457-1,서울 관악구 신림동 1457-1,55,2000,8.0,19.8m²,3층,37.48716829,126.9243477,동향(안방 기준),있음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 120-19,서울 관악구 신림동 120-19,50,2000,10.0,16.5m²,반지하,37.47229907,126.9370136,남서향(안방 기준),없음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,서림동,서울특별시 관악구 서림동
원룸,서울 마포구,노고산동 54-17,서울 마포구 노고산동 54-17,150,1000,10.0,16.5m²,6층,37.55535577,126.9340428,북서향(안방 기준),없음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기",공동현관,노고산동,서교동,서울특별시 마포구 서교동
원룸,서울 관악구,신림동 10-584,서울 관악구 신림동 10-584,60,0,9.0,19.8m²,4층,37.48429168,126.934687,서향(안방 기준),없음,개별난방,없음,"냉장고, 세탁기, 가스레인지, 책상","디지털도어락, 공동현관, 인터폰",신림동,서원동,서울특별시 관악구 서원동
원룸,서울 금천구,가산동 34-6,서울 금천구 가산동 34-6,45,0,10.0,16.5m²,반지하,37.48378063,126.8835055,남동향(안방 기준),있음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 공동현관, 인터폰, 화재경보기",가산동,가산동,서울특별시 금천구 가산동
원룸,서울 관악구,신림동 1606-7,서울 관악구 신림동 1606-7,38,0,8.0,19.8m²,반지하,37.48142124,126.9274035,남향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,신원동,서울특별시 관악구 신원동
원룸,서울 구로구,가리봉동 136-2,서울 구로구 가리봉동 136-2,35,300,7.0,19.8m²,반지하,37.47977582,126.8944287,남향(안방 기준),없음,개별난방,없음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지","CCTV, 디지털도어락, 공동현관, 인터폰",가리봉동,가리봉동,서울특별시 구로구 가리봉동
원룸,서울 관악구,신림동 1463-35,서울 관악구 신림동 1463-35,44,3500,8.0,19.8m²,5층,37.48532125,126.9260967,동향(안방 기준),있음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
원룸,서울 관악구,신림동 107-7,서울 관악구 신림동 107-7,30,3000,0.0,16.5m²,2층,37.47249429,126.935461,북서향(안방 기준),있음,개별난방,있음,"냉장고, 인덕션, 세탁기, 옷장(행거), 책상","CCTV, 디지털도어락, 공동현관, 인터폰",신림동,서림동,서울특별시 관악구 서림동
원룸,서울 관악구,봉천동 1609-32,서울 관악구 봉천동 1609-32,55,500,0.0,23.1m²,2층,37.47690563,126.9546078,동향(안방 기준),있음,개별난방,없음,"냉장고, 인덕션, 세탁기, 옷장(행거)","디지털도어락, 공동현관",봉천동,낙성대동,서울특별시 관악구 낙성대동
원룸,서울 관악구,신림동 1438-17,서울 관악구 신림동 1438-17,40,3000,9.0,23.1m²,4층,37.48690427,126.9264529,동향(안방 기준),있음,개별난방,있음,"신발장, 냉장고, 인덕션, 세탁기, 옷장(행거), 전자레인지, 책상","CCTV, 디지털도어락, 소화기, 공동현관, 인터폰, 화재경보기",신림동,신림동,서울특별시 관악구 신림동
