id,business_name,longitude,latitude,category
131,중곡4파출소,127.0873044,37.56532523,파출소
132,자양파출소,127.071609,37.53386933,파출소
133,자양1파출소,127.076925,37.53665548,파출소
134,자양4파출소,127.0636496,37.53518574,파출소
135,구의파출소,127.0916678,37.54589642,파출소
136,구로3파출소,126.8913673,37.48667891,파출소
137,가리봉파출소,126.892667,37.47920173,파출소
138,천왕파출소,126.8425634,37.48385246,파출소
139,금천파출소,126.8998411,37.45424282,파출소
140,가산파출소,126.8880622,37.47995791,파출소
141,독산파출소,126.8947541,37.46465049,파출소
142,당고개파출소,127.0758488,37.66701867,파출소
143,상계1파출소,127.0550712,37.67970157,파출소
144,신창파출소,127.0346356,37.64350791,파출소
145,방학파출소,127.0400267,37.66450631,파출소
146,신방학파출소,127.0271084,37.65848963,파출소
147,도봉1파출소,127.0434208,37.67945867,파출소
148,도봉2파출소,127.0493016,37.68400359,파출소
149,쌍문파출소,127.0380329,37.65758383,파출소
150,숭미파출소,127.0255996,37.64747095,파출소
151,청량리파출소,127.045264,37.58408952,파출소
152,제기파출소,127.0420269,37.58556114,파출소
153,전농1파출소,127.0479649,37.57619575,파출소
154,전농2파출소,127.0542664,37.58633821,파출소
155,장안1파출소,127.065001,37.56963556,파출소
156,장안2파출소,127.0744168,37.57676228,파출소
157,휘경파출소,127.0680121,37.58470209,파출소
158,회기파출소,127.0518762,37.59112896,파출소
159,대방파출소,126.9205764,37.4985522,파출소
160,상암파출소,126.8938336,37.57829311,파출소
161,망원파출소,126.9027719,37.55436496,파출소
162,연남파출소,126.9237309,37.56033325,파출소
163,홍은파출소,126.9463816,37.59525833,파출소
164,연희파출소,126.9328749,37.57027949,파출소
165,남가좌파출소,126.9240624,37.57606935,파출소
166,북가좌파출소,126.9105666,37.5813235,파출소
167,홍제파출소,126.9445525,37.58817568,파출소
168,홍은2파출소,126.9362028,37.58358541,파출소
169,서초2파출소,127.0289597,37.48748395,파출소
170,서초3파출소,127.0107921,37.49197583,파출소
171,양재파출소,127.0378433,37.48454055,파출소
172,서초파출소,127.0167656,37.48530047,파출소
173,우면파출소,127.0160222,37.45610422,파출소
174,내곡파출소,127.0648011,37.45498921,파출소
175,서래파출소,126.9969691,37.50211081,파출소
176,이수파출소,126.9888457,37.49414903,파출소
177,방배1파출소,126.9953191,37.48394465,파출소
178,왕십리파출소,127.0326577,37.56666845,파출소
179,행당파출소,127.0288962,37.55739277,파출소
180,옥수파출소,127.0143368,37.54383721,파출소
181,금호파출소,127.0196105,37.55472412,파출소
182,응봉파출소,127.0300566,37.54980247,파출소
183,용답파출소,127.0517855,37.56478753,파출소
184,정릉파출소,127.0086036,37.61607225,파출소
185,정릉2파출소,127.0107087,37.60456104,파출소
186,성북파출소,126.9984737,37.5932739,파출소
187,석관파출소,127.0552772,37.60896162,파출소
188,종암파출소,127.0312636,37.60009568,파출소
189,마천파출소,127.1482275,37.4970407,파출소
190,거여파출소,127.1426455,37.48747708,파출소
191,풍납파출소,127.117135,37.53413388,파출소
192,오금파출소,127.1280971,37.50689601,파출소
193,신천파출소,127.112577,37.52013675,파출소
194,송파위례파출소,127.1458539,37.47788193,파출소
195,신월1파출소,126.8322469,37.5320699,파출소
196,신정3파출소,126.8550084,37.51490262,파출소
197,신월5파출소,126.8307071,37.5390892,파출소
198,양평파출소,126.8896861,37.52272476,파출소
199,대림3파출소,126.8966375,37.49898779,파출소
200,영등포역파출소,126.9088446,37.51545379,파출소
201,이태원파출소,126.9944131,37.53425851,파출소
202,한남파출소,127.0063673,37.53110137,파출소
203,보광파출소,127.0002489,37.52672267,파출소
204,삼각지파출소,126.974701,37.5361156,파출소
205,녹번파출소,126.9318618,37.60881975,파출소
206,응암3파출소,126.9175349,37.59052771,파출소
207,역촌파출소,126.9150868,37.60461026,파출소
208,진관파출소,126.9209111,37.63995824,파출소
209,대조파출소,126.9242648,37.60866015,파출소
210,관수파출소,126.9863455,37.56869671,파출소
211,세검정파출소,126.9584633,37.60002403,파출소
212,평창파출소,126.9666324,37.60527039,파출소
213,삼청파출소,126.9814623,37.58234341,파출소
214,통의파출소,126.9739989,37.57678287,파출소
215,청운파출소,126.9705908,37.58422788,파출소
216,옥인파출소,126.9694326,37.58147055,파출소
217,교남파출소,126.9622054,37.57179898,파출소
218,신문로파출소,126.9722352,37.57075661,파출소
219,사직파출소,126.9690361,37.57655552,파출소
220,청진파출소,126.9826691,37.57300569,파출소
221,혜화파출소,127.0014085,37.58608758,파출소
222,대학로파출소,127.0060453,37.57856955,파출소
223,명륜파출소,126.9976087,37.58928789,파출소
224,창신파출소,127.0135646,37.57847071,파출소
225,동묘파출소,127.0171384,37.57270839,파출소
226,덕산파출소,127.0093392,37.57438511,파출소
227,종로5가파출소,127.0016074,37.57071662,파출소
228,효제파출소,127.0048766,37.57292938,파출소
229,신당파출소,127.0163896,37.56505003,파출소
230,장충파출소,127.0048078,37.5587513,파출소
231,충무파출소,126.9915567,37.5608306,파출소
232,을지로3가파출소,126.9928645,37.56620783,파출소
233,세종로파출소,126.9764432,37.56898347,파출소
234,태평로파출소,126.9799966,37.56801195,파출소
235,서울역파출소,126.9716812,37.55689465,파출소
236,명동파출소,126.9839684,37.56359047,파출소
237,남대문파출소,126.9763909,37.55901574,파출소
238,중림파출소,126.9671108,37.55788186,파출소
239,회현파출소,126.9787316,37.55845036,파출소
240,서소문파출소,126.9754703,37.56382327,파출소
241,면목본동파출소,127.0938799,37.58819462,파출소
242,면목삼팔파출소,127.0841733,37.58318882,파출소
243,상봉파출소,127.0728473,37.59130619,파출소
244,먹골파출소,127.0815629,37.61460279,파출소
245,다산치안센터,128.4588167,35.86222602,파출소
246,DDP치안센터,126.9922981,37.57117769,파출소
247,충4치안센터,126.9953459,37.56240215,파출소
248,무학치안센터,126.9922981,37.57117769,파출소
249,황학치안센터,126.9922981,37.57117769,파출소
250,구기치안센터,126.9563967,37.60951251,파출소
251,종로3가치안센터,126.9922981,37.57117769,파출소
252,효제치안센터,126.9922981,37.57117769,파출소
253,북아현치안센터,126.9553784,37.56245147,파출소
254,신촌치안센터,127.9527072,37.51439281,파출소
255,북아현1치안센터,126.9553784,37.56245147,파출소
256,청파치안센터,126.9708962,37.54409038,파출소
257,용산치안센터,126.9856695,37.54600681,파출소
258,한남2치안센터,127.0015207,37.53978357,파출소
259,이촌한강치안센터,126.9626747,37.52049985,파출소
260,이촌치안센터,126.9733066,37.5213668,파출소
261,코엑스치안센터,127.0592782,37.5100077,파출소
262,청담2치안센터,127.0305331,37.53061105,파출소
263,압구정치안센터,127.0305331,37.53061105,파출소
264,도곡치안센터,127.0322166,37.49388567,파출소
265,역서치안센터,127.0322166,37.49388567,파출소
266,은마치안센터,127.0614832,37.49835747,파출소
267,천호2치안센터,127.1182736,37.54583673,파출소
268,천호3치안센터,127.1182736,37.54583673,파출소
269,길동2치안센터,127.1673826,37.54700269,파출소
270,암사1치안센터,127.1182736,37.54583673,파출소
271,천호1치안센터,127.1182736,37.54583673,파출소
272,성내2치안센터,127.1182736,37.54583673,파출소
273,명일1치안센터,127.1182736,37.54583673,파출소
274,상일치안센터,127.1673826,37.54700269,파출소
275,동화치안센터,127.0267799,37.62714806,파출소
276,미아3치안센터,127.0267799,37.62714806,파출소
277,숭인치안센터,127.0135003,37.58620575,파출소
278,우이치안센터,127.0129974,37.66311676,파출소
279,수유6치안센터,127.0157815,37.6442039,파출소
280,화곡본동치안센터,126.8453818,37.5437837,파출소
281,개화2치안센터,126.7999409,37.57930117,파출소
282,보라매치안센터,126.9292863,37.48189631,파출소
283,인헌치안센터,126.9410669,37.47822035,파출소
284,서원치안센터,126.9292863,37.48189631,파출소
285,신원치안센터,126.9708962,37.54409038,파출소
286,청룡2치안센터,126.9410669,37.47822035,파출소
287,대학동치안센터,126.9410669,37.47822035,파출소
288,삼성치안센터,127.0592782,37.5100077,파출소
289,청림치안센터,129.4036358,35.99564823,파출소
290,난곡치안센터,126.9292863,37.48189631,파출소
291,자양2치안센터,127.0847367,37.52882584,파출소
292,대공원치안센터,127.0129672,37.4363904,파출소
293,구의3치안센터,127.0978986,37.53918798,파출소
294,구로치안센터,126.8529377,37.49800443,파출소
295,신도림치안센터,126.8808649,37.50766043,파출소
296,구로1치안센터,126.8751637,37.49119677,파출소
297,구로2치안센터,126.8833096,37.49130241,파출소
298,개봉1치안센터,126.8529377,37.49800443,파출소
299,개봉치안센터,126.8529377,37.49800443,파출소
